method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_f1
full_ft,bert-base-uncased,sst2,456,500,accuracy,0.8497706422018348,109483778,100.0,3.0,0.8497706422018348,0.3510512113571167,,0.8497706422018348,0.7979,1092.913,68.934,
full_ft,bert-base-uncased,sst2,789,500,accuracy,0.8612385321100917,109483778,100.0,3.0,0.8612385321100917,0.3580351173877716,,0.8612385321100917,0.8075,1079.844,68.109,
gradaware_lora,bert-base-uncased,sst2,1024,500,accuracy,0.8325688073394495,296450,0.2700395193203643,10.0,0.8325688073394495,0.6060842871665955,,0.8325688073394495,0.884,986.418,62.217,
gradaware_lora,bert-base-uncased,sst2,1024,500,accuracy,0.8325688073394495,296450,0.2700395193203643,10.0,0.8325688073394495,0.6060842871665955,,0.8325688073394495,0.8213,1061.691,66.964,
gradaware_lora,bert-base-uncased,sst2,123,500,accuracy,0.8577981651376146,296450,0.2700395193203643,10.0,0.8577981651376146,0.5641410946846008,,0.8577981651376146,1.781,489.606,30.881,
gradaware_lora,bert-base-uncased,sst2,123,500,accuracy,0.8577981651376146,296450,0.2700395193203643,10.0,0.8577981651376146,0.5641410946846008,,0.8577981651376146,2.758,316.174,19.942,
gradaware_lora,bert-base-uncased,sst2,42,500,accuracy,0.8440366972477065,296450,0.2700395193203643,10.0,0.8440366972477065,0.5326023697853088,,0.8440366972477065,2.2655,384.907,24.277,
gradaware_lora,bert-base-uncased,sst2,42,500,accuracy,0.8440366972477065,296450,0.2700395193203643,10.0,0.8440366972477065,0.5326023697853088,,0.8440366972477065,0.8305,1049.959,66.224,
gradaware_lora,bert-base-uncased,sst2,456,500,accuracy,0.841743119266055,296450,0.2700395193203643,10.0,0.841743119266055,0.4897545278072357,,0.841743119266055,0.8896,980.203,61.825,
gradaware_lora,bert-base-uncased,sst2,456,500,accuracy,0.841743119266055,296450,0.2700395193203643,10.0,0.841743119266055,0.4897545278072357,,0.841743119266055,0.8788,992.242,62.584,
gradaware_lora,bert-base-uncased,sst2,789,500,accuracy,0.8474770642201835,296450,0.2700395193203643,10.0,0.8474770642201835,0.49067574739456177,,0.8474770642201835,1.0147,859.34,54.201,
gradaware_lora,bert-base-uncased,sst2,789,500,accuracy,0.8474770642201835,296450,0.2700395193203643,10.0,0.8474770642201835,0.49067574739456177,,0.8474770642201835,0.8114,1074.716,67.786,
lora,bert-base-uncased,sst2,1024,500,accuracy,0.8405963302752294,296450,0.2700395193203643,10.0,0.8405963302752294,0.5769510865211487,,0.8405963302752294,0.7814,1116.003,70.39,
lora,bert-base-uncased,sst2,123,500,accuracy,0.8543577981651376,296450,0.2700395193203643,10.0,0.8543577981651376,0.5549490451812744,,0.8543577981651376,0.7758,1124.023,70.896,
lora,bert-base-uncased,sst2,42,500,accuracy,0.8532110091743119,296450,0.2700395193203643,10.0,0.8532110091743119,0.5310003757476807,,0.8532110091743119,0.7798,1118.174,70.527,
lora,bert-base-uncased,sst2,456,500,accuracy,0.8474770642201835,296450,0.2700395193203643,10.0,0.8474770642201835,0.4930761158466339,,0.8474770642201835,0.7937,1098.694,69.298,
lora,bert-base-uncased,sst2,789,500,accuracy,0.841743119266055,296450,0.2700395193203643,10.0,0.841743119266055,0.4900934100151062,,0.841743119266055,0.8466,1030.032,64.968,
topheavy_lora,bert-base-uncased,sst2,1024,500,accuracy,0.8394495412844036,296450,0.2700395193203643,10.0,0.8394495412844036,0.6294841170310974,,0.8394495412844036,0.8597,1014.314,63.976,
